method,data,type,colums,func,start,end,width,height,errorbound,error,ssim,iterations,totaltime,sqltime
ours,sensordata,static,5;4;3;2;1;7;6,plus,0,-1,400,600,0.1,0,0,9,1.217,0.919
ours,sensordata,static,5;4;3;2;1;7;6,plus,0,-1,600,600,0.1,0,0,9,1.604,1.217
ours,sensordata,static,5;4;3;2;1;7;6,plus,0,-1,800,600,0.1,0,0,10,1.845,1.364
ours,sensordata,static,5;4;3;2;1;7;6,plus,0,-1,1000,600,0.1,0,0,9,2.176,1.561
ours,sensordata,static,5;4;3;2;1;7;6,plus,0,-1,1200,600,0.1,0,0,11,2.062,1.323
ours,sensordata,static,5;4;3;2;1;7;6,minus,0,-1,200,600,0.1,0,0,8,0.661,0.488
ours,sensordata,static,5;4;3;2;1;7;6,minus,0,-1,400,600,0.1,0,0,8,0.897,0.594
ours,sensordata,static,5;4;3;2;1;7;6,minus,0,-1,600,600,0.1,0,0,9,1.290,0.897
ours,sensordata,static,5;4;3;2;1;7;6,minus,0,-1,800,600,0.1,0,0,9,1.427,0.969
ours,sensordata,static,5;4;3;2;1;7;6,minus,0,-1,1000,600,0.1,0,0,10,1.793,1.214
ours,sensordata,static,5;4;3;2;1;7;6,minus,0,-1,1200,600,0.1,0,0,11,1.910,1.234
ours,sensordata,static,5;4;3;2;1;7;6,multi,0,-1,200,600,0.1,0,0,23,0.596,0.374
ours,sensordata,static,5;4;3;2;1;7;6,multi,0,-1,400,600,0.1,0,0,12,0.724,0.371
ours,sensordata,static,5;4;3;2;1;7;6,multi,0,-1,600,600,0.1,0,0,10,0.869,0.478
ours,sensordata,static,5;4;3;2;1;7;6,multi,0,-1,800,600,0.1,0,0,9,1.112,0.605
ours,sensordata,static,5;4;3;2;1;7;6,multi,0,-1,1000,600,0.1,0,0,11,1.389,0.726
ours,sensordata,static,5;4;3;2;1;7;6,multi,0,-1,1200,600,0.1,0,0,11,1.441,0.727
ours,sensordata,static,5;4;3;2;1;7;6,devide,0,-1,200,600,0.1,0,0,8,0.403,0.246
ours,sensordata,static,5;4;3;2;1;7;6,devide,0,-1,400,600,0.1,0,0,9,0.647,0.350
ours,sensordata,static,5;4;3;2;1;7;6,devide,0,-1,600,600,0.1,0,0,10,1.013,0.562
ours,sensordata,static,5;4;3;2;1;7;6,devide,0,-1,800,600,0.1,0,0,10,1.059,0.601
ours,sensordata,static,5;4;3;2;1;7;6,devide,0,-1,1000,600,0.1,0,0,13,1.387,0.740
ours,sensordata,static,5;4;3;2;1;7;6,devide,0,-1,1200,600,0.1,0,0,13,1.485,0.771
ours,sensordata,static,5;4;3;2;1;7;6,func4,0,-1,200,600,0.1,0,0,23,0.752,0.541
ours,sensordata,static,5;4;3;2;1;7;6,func4,0,-1,400,600,0.1,0,0,21,1.068,0.690
ours,sensordata,static,5;4;3;2;1;7;6,func4,0,-1,600,600,0.1,0,0,20,1.475,0.962
ours,sensordata,static,5;4;3;2;1;7;6,func4,0,-1,800,600,0.1,0,0,18,1.644,1.039
ours,sensordata,static,5;4;3;2;1;7;6,func4,0,-1,1000,600,0.1,0,0,17,2.038,1.248
ours,sensordata,static,5;4;3;2;1;7;6,func4,0,-1,1200,600,0.1,0,0,16,2.057,1.196
ours,sensordata,static,5;4;3;2;1;7;6,mean,0,-1,200,600,0.1,0,0,1,0.368,0.084
ours,sensordata,static,5;4;3;2;1;7;6,mean,0,-1,400,600,0.1,0,0,1,0.477,0.121
ours,sensordata,static,5;4;3;2;1;7;6,mean,0,-1,600,600,0.1,0,0,1,0.622,0.160
ours,sensordata,static,5;4;3;2;1;7;6,mean,0,-1,800,600,0.1,0,0,1,0.740,0.182
ours,sensordata,static,5;4;3;2;1;7;6,mean,0,-1,1000,600,0.1,0,0,1,0.791,0.205
ours,sensordata,static,5;4;3;2;1;7;6,mean,0,-1,1200,600,0.1,0,0,1,0.986,0.261
ours,sensordata,static,5;4;3;2;1;7;6,variance,0,-1,200,600,0.1,0,0,1,0.330,0.064
ours,sensordata,static,5;4;3;2;1;7;6,variance,0,-1,400,600,0.1,0,0,1,0.425,0.101
ours,sensordata,static,5;4;3;2;1;7;6,variance,0,-1,600,600,0.1,0,0,1,0.565,0.139
ours,sensordata,static,5;4;3;2;1;7;6,variance,0,-1,800,600,0.1,0,0,1,0.716,0.163
ours,sensordata,static,5;4;3;2;1;7;6,variance,0,-1,1000,600,0.1,0,0,1,0.790,0.192
ours,sensordata,static,5;4;3;2;1;7;6,variance,0,-1,1200,600,0.1,0,0,1,0.959,0.222
ours,sensordata,static,5;4;3;2;1;7;6,max,0,-1,200,600,0.1,0,0,1,0.312,0.061
ours,sensordata,static,5;4;3;2;1;7;6,max,0,-1,400,600,0.1,0,0,1,0.413,0.103
ours,sensordata,static,5;4;3;2;1;7;6,max,0,-1,600,600,0.1,0,0,1,0.522,0.127
ours,sensordata,static,5;4;3;2;1;7;6,max,0,-1,800,600,0.1,0,0,1,0.623,0.151
ours,sensordata,static,5;4;3;2;1;7;6,max,0,-1,1000,600,0.1,0,0,1,0.704,0.189
ours,sensordata,static,5;4;3;2;1;7;6,max,0,-1,1200,600,0.1,0,0,1,0.817,0.207
ours,sensordata,static,5;4;3;2;1;7;6,L2,0,-1,200,600,0.1,0,0,1,0.290,0.061
ours,sensordata,static,5;4;3;2;1;7;6,L2,0,-1,400,600,0.1,0,0,1,0.389,0.091
ours,sensordata,static,5;4;3;2;1;7;6,L2,0,-1,600,600,0.1,0,0,1,0.491,0.127
