method,data,type,colums,func,start,end,width,height,errorbound,error,ssim,iterations,totaltime,sqltime
ours,soccerdata,static,5;3;1;2;4;6,mean,0,-1,200,600,0.01,0,0,26,0.517,0.238
ours,soccerdata,static,5;3;1;2;4;6,mean,0,-1,400,600,0.01,0,0,21,0.802,0.345
ours,soccerdata,static,5;3;1;2;4;6,mean,0,-1,600,600,0.01,0,0,22,1.158,0.487
ours,soccerdata,static,5;3;1;2;4;6,mean,0,-1,800,600,0.01,0,0,20,1.709,0.619
ours,soccerdata,static,5;3;1;2;4;6,mean,0,-1,1000,600,0.01,0,0,20,2.111,0.749
ours,soccerdata,static,5;3;1;2;4;6,mean,0,-1,1200,600,0.01,0,0,22,2.503,0.869
ours,soccerdata,static,5;3;1;2;4;6,variance,0,-1,200,600,0.01,0,0,7,0.350,0.144
ours,soccerdata,static,5;3;1;2;4;6,variance,0,-1,400,600,0.01,0,0,8,0.580,0.224
ours,soccerdata,static,5;3;1;2;4;6,variance,0,-1,600,600,0.01,0,0,11,0.835,0.303
ours,soccerdata,static,5;3;1;2;4;6,variance,0,-1,800,600,0.01,0,0,9,1.093,0.379
ours,soccerdata,static,5;3;1;2;4;6,variance,0,-1,1000,600,0.01,0,0,10,1.505,0.454
ours,soccerdata,static,5;3;1;2;4;6,variance,0,-1,1200,600,0.01,0,0,11,1.689,0.515
ours,soccerdata,static,5;3;1;2;4;6,max,0,-1,200,600,0.01,0,0,3,0.250,0.122
ours,soccerdata,static,5;3;1;2;4;6,max,0,-1,400,600,0.01,0,0,6,0.388,0.172
ours,soccerdata,static,5;3;1;2;4;6,max,0,-1,600,600,0.01,0,0,6,0.491,0.204
ours,soccerdata,static,5;3;1;2;4;6,max,0,-1,800,600,0.01,0,0,6,0.662,0.264
ours,soccerdata,static,5;3;1;2;4;6,max,0,-1,1000,600,0.01,0,0,6,0.760,0.294
ours,soccerdata,static,5;3;1;2;4;6,max,0,-1,1200,600,0.01,0,0,6,0.908,0.328
ours,soccerdata,static,5;3;1;2;4;6,L2,0,-1,200,600,0.01,0,0,7,0.284,0.147
ours,soccerdata,static,5;3;1;2;4;6,L2,0,-1,400,600,0.01,0,0,9,0.538,0.232
ours,soccerdata,static,5;3;1;2;4;6,L2,0,-1,600,600,0.01,0,0,12,0.816,0.316
ours,soccerdata,static,5;3;1;2;4;6,L2,0,-1,800,600,0.01,0,0,10,1.013,0.382
ours,soccerdata,static,5;3;1;2;4;6,L2,0,-1,1000,600,0.01,0,0,10,1.349,0.448
ours,soccerdata,static,5;3;1;2;4;6,L2,0,-1,1200,600,0.01,0,0,12,1.563,0.504
ours,soccerdata,static,5;3;1;2;4;6,weightsum,0,-1,200,600,0.01,0,0,11,0.400,0.191
ours,soccerdata,static,5;3;1;2;4;6,weightsum,0,-1,400,600,0.01,0,0,8,0.651,0.260
ours,soccerdata,static,5;3;1;2;4;6,weightsum,0,-1,600,600,0.01,0,0,11,0.951,0.332
ours,soccerdata,static,5;3;1;2;4;6,weightsum,0,-1,800,600,0.01,0,0,8,1.201,0.420
ours,soccerdata,static,5;3;1;2;4;6,weightsum,0,-1,1000,600,0.01,0,0,9,1.440,0.463
ours,soccerdata,static,5;3;1;2;4;6,weightsum,0,-1,1200,600,0.01,0,0,11,1.721,0.518
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,func1,0,-1,200,600,0.01,0,0,0,0.041,0.033
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,func1,0,-1,400,600,0.01,0,0,0,0.061,0.042
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,func1,0,-1,600,600,0.01,0,0,0,0.084,0.053
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,func1,0,-1,800,600,0.01,0,0,0,0.113,0.056
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,func1,0,-1,1000,600,0.01,0,0,0,0.128,0.068
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,func1,0,-1,1200,600,0.01,0,0,0,0.127,0.072
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,boxcox0,0,-1,200,600,0.01,0,0,0,0.027,0.014
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,boxcox0,0,-1,400,600,0.01,0,0,0,0.052,0.030
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,boxcox0,0,-1,600,600,0.01,0,0,0,0.071,0.041
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,boxcox0,0,-1,800,600,0.01,0,0,0,0.088,0.051
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,boxcox0,0,-1,1000,600,0.01,0,0,0,0.105,0.057
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,boxcox0,0,-1,1200,600,0.01,0,0,0,0.132,0.076
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,plus,0,-1,200,600,0.01,0,0,8,0.142,0.078
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,plus,0,-1,400,600,0.01,0,0,10,0.237,0.124
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,plus,0,-1,600,600,0.01,0,0,9,0.306,0.157
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,plus,0,-1,800,600,0.01,0,0,9,0.385,0.183
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,plus,0,-1,1000,600,0.01,0,0,9,0.468,0.209
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,plus,0,-1,1200,600,0.01,0,0,9,0.557,0.239
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,minus,0,-1,200,600,0.01,0,0,8,0.134,0.081
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,minus,0,-1,400,600,0.01,0,0,10,0.222,0.119
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,minus,0,-1,600,600,0.01,0,0,8,0.309,0.151
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,minus,0,-1,800,600,0.01,0,0,9,0.377,0.181
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,minus,0,-1,1000,600,0.01,0,0,9,0.435,0.195
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,minus,0,-1,1200,600,0.01,0,0,9,0.494,0.217
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,multi,0,-1,200,600,0.01,0,0,11,0.119,0.072
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,multi,0,-1,400,600,0.01,0,0,10,0.212,0.110
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,multi,0,-1,600,600,0.01,0,0,11,0.271,0.130
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,multi,0,-1,800,600,0.01,0,0,10,0.310,0.156
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,multi,0,-1,1000,600,0.01,0,0,10,0.396,0.181
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,multi,0,-1,1200,600,0.01,0,0,9,0.454,0.211
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,devide,0,-1,200,600,0.01,0,0,64,0.236,0.152
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,devide,0,-1,400,600,0.01,0,0,63,0.367,0.191
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,devide,0,-1,600,600,0.01,0,0,52,0.459,0.216
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,devide,0,-1,800,600,0.01,0,0,55,0.548,0.265
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,devide,0,-1,1000,600,0.01,0,0,48,0.661,0.308
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,devide,0,-1,1200,600,0.01,0,0,42,0.695,0.320
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,func4,0,-1,200,600,0.01,0,0,43,0.363,0.209
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,func4,0,-1,400,600,0.01,0,0,38,0.601,0.311
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,func4,0,-1,600,600,0.01,0,0,34,0.776,0.378
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,func4,0,-1,800,600,0.01,0,0,30,0.821,0.394
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,func4,0,-1,1000,600,0.01,0,0,26,0.875,0.410
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,func4,0,-1,1200,600,0.01,0,0,25,0.963,0.437
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,mean,0,-1,200,600,0.01,0,0,8,0.328,0.138
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,mean,0,-1,400,600,0.01,0,0,9,0.614,0.223
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,mean,0,-1,600,600,0.01,0,0,9,0.862,0.294
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,mean,0,-1,800,600,0.01,0,0,9,1.165,0.348
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,mean,0,-1,1000,600,0.01,0,0,9,1.304,0.372
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,mean,0,-1,1200,600,0.01,0,0,9,1.603,0.451
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,variance,0,-1,200,600,0.01,0,0,9,0.332,0.130
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,variance,0,-1,400,600,0.01,0,0,10,0.623,0.215
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,variance,0,-1,600,600,0.01,0,0,6,0.737,0.234
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,variance,0,-1,800,600,0.01,0,0,7,0.902,0.278
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,variance,0,-1,1000,600,0.01,0,0,9,1.122,0.358
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,variance,0,-1,1200,600,0.01,0,0,4,0.880,0.278
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,max,0,-1,200,600,0.01,0,0,1,0.118,0.056
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,max,0,-1,400,600,0.01,0,0,1,0.215,0.091
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,max,0,-1,600,600,0.01,0,0,1,0.290,0.114
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,max,0,-1,800,600,0.01,0,0,1,0.406,0.134
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,max,0,-1,1000,600,0.01,0,0,1,0.491,0.138
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,max,0,-1,1200,600,0.01,0,0,1,0.511,0.173
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,L2,0,-1,200,600,0.01,0,0,10,0.276,0.120
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,L2,0,-1,400,600,0.01,0,0,10,0.498,0.209
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,L2,0,-1,600,600,0.01,0,0,10,0.720,0.281
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,L2,0,-1,800,600,0.01,0,0,9,0.937,0.319
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,L2,0,-1,1000,600,0.01,0,0,9,0.983,0.330
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,L2,0,-1,1200,600,0.01,0,0,9,1.287,0.420
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,weightsum,0,-1,200,600,0.01,0,0,8,0.282,0.132
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,weightsum,0,-1,400,600,0.01,0,0,8,0.511,0.211
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,weightsum,0,-1,600,600,0.01,0,0,9,0.741,0.267
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,weightsum,0,-1,800,600,0.01,0,0,8,0.850,0.311
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,weightsum,0,-1,1000,600,0.01,0,0,9,1.091,0.354
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,weightsum,0,-1,1200,600,0.01,0,0,9,1.188,0.394
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,func1,0,-1,200,600,0.01,0,0,1,0.048,0.037
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,func1,0,-1,400,600,0.01,0,0,1,0.080,0.046
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,func1,0,-1,600,600,0.01,0,0,1,0.119,0.066
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,func1,0,-1,800,600,0.01,0,0,1,0.165,0.080
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,func1,0,-1,1000,600,0.01,0,0,1,0.174,0.093
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,func1,0,-1,1200,600,0.01,0,0,1,0.193,0.101
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,boxcox0,0,-1,200,600,0.01,0,0,0,0.028,0.019
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,boxcox0,0,-1,400,600,0.01,0,0,0,0.045,0.028
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,boxcox0,0,-1,600,600,0.01,0,0,0,0.069,0.041
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,boxcox0,0,-1,800,600,0.01,0,0,0,0.094,0.053
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,boxcox0,0,-1,1000,600,0.01,0,0,0,0.125,0.062
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,boxcox0,0,-1,1200,600,0.01,0,0,0,0.125,0.070
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,plus,0,-1,200,600,0.01,0,0,45,0.341,0.189
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,plus,0,-1,400,600,0.01,0,0,35,0.464,0.233
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,plus,0,-1,600,600,0.01,0,0,30,0.549,0.265
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,plus,0,-1,800,600,0.01,0,0,29,0.618,0.290
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,plus,0,-1,1000,600,0.01,0,0,27,0.692,0.315
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,plus,0,-1,1200,600,0.01,0,0,26,0.834,0.358
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,minus,0,-1,200,600,0.01,0,0,57,0.395,0.227
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,minus,0,-1,400,600,0.01,0,0,43,0.524,0.268
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,minus,0,-1,600,600,0.01,0,0,36,0.655,0.301
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,minus,0,-1,800,600,0.01,0,0,33,0.719,0.333
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,minus,0,-1,1000,600,0.01,0,0,30,0.843,0.382
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,minus,0,-1,1200,600,0.01,0,0,30,0.963,0.419
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,multi,0,-1,200,600,0.01,0,0,58,0.367,0.206
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,multi,0,-1,400,600,0.01,0,0,48,0.526,0.256
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,multi,0,-1,600,600,0.01,0,0,41,0.654,0.301
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,multi,0,-1,800,600,0.01,0,0,39,0.764,0.359
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,multi,0,-1,1000,600,0.01,0,0,35,0.870,0.389
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,multi,0,-1,1200,600,0.01,0,0,33,0.970,0.421
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,devide,0,-1,200,600,0.01,0,0,42,0.383,0.224
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,devide,0,-1,400,600,0.01,0,0,29,0.503,0.242
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,devide,0,-1,600,600,0.01,0,0,24,0.582,0.271
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,devide,0,-1,800,600,0.01,0,0,24,0.675,0.308
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,devide,0,-1,1000,600,0.01,0,0,23,0.839,0.357
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,devide,0,-1,1200,600,0.01,0,0,21,0.960,0.397
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,func4,0,-1,200,600,0.01,0,0,80,0.657,0.347
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,func4,0,-1,400,600,0.01,0,0,74,0.908,0.425
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,func4,0,-1,600,600,0.01,0,0,66,1.232,0.538
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,func4,0,-1,800,600,0.01,0,0,64,1.512,0.645
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,func4,0,-1,1000,600,0.01,0,0,58,1.686,0.719
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,func4,0,-1,1200,600,0.01,0,0,54,2.086,0.803
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,mean,0,-1,200,600,0.01,0,0,173,3.307,1.394
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,mean,0,-1,400,600,0.01,0,0,141,4.260,1.365
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,mean,0,-1,600,600,0.01,0,0,124,4.235,1.385
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,mean,0,-1,800,600,0.01,0,0,109,5.086,1.613
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,mean,0,-1,1000,600,0.01,0,0,103,5.825,2.017
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,mean,0,-1,1200,600,0.01,0,0,96,7.040,2.162
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,variance,0,-1,200,600,0.01,0,0,71,1.064,0.447
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,variance,0,-1,400,600,0.01,0,0,57,1.694,0.636
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,variance,0,-1,600,600,0.01,0,0,49,2.241,0.732
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,variance,0,-1,800,600,0.01,0,0,45,2.646,0.838
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,variance,0,-1,1000,600,0.01,0,0,44,3.904,1.076
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,variance,0,-1,1200,600,0.01,0,0,43,4.006,1.080
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,max,0,-1,200,600,0.01,0,0,38,0.409,0.206
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,max,0,-1,400,600,0.01,0,0,28,0.589,0.239
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,max,0,-1,600,600,0.01,0,0,25,0.690,0.288
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,max,0,-1,800,600,0.01,0,0,23,0.852,0.313
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,max,0,-1,1000,600,0.01,0,0,21,1.025,0.341
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,max,0,-1,1200,600,0.01,0,0,19,1.068,0.367
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,L2,0,-1,200,600,0.01,0,0,103,1.383,0.585
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,L2,0,-1,400,600,0.01,0,0,81,1.907,0.755
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,L2,0,-1,600,600,0.01,0,0,69,2.516,0.904
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,L2,0,-1,800,600,0.01,0,0,61,3.217,1.078
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,L2,0,-1,1000,600,0.01,0,0,60,3.439,1.155
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,L2,0,-1,1200,600,0.01,0,0,56,3.854,1.260
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,weightsum,0,-1,200,600,0.01,0,0,97,1.336,0.585
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,weightsum,0,-1,400,600,0.01,0,0,81,2.306,0.833
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,weightsum,0,-1,600,600,0.01,0,0,66,3.212,1.117
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,weightsum,0,-1,800,600,0.01,0,0,64,3.222,1.091
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,weightsum,0,-1,1000,600,0.01,0,0,60,3.592,1.185
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,weightsum,0,-1,1200,600,0.01,0,0,59,4.374,1.364
ours,synthetic1m,static,1;2;3;4;5,func1,0,-1,200,600,0.01,0,0,1,0.038,0.030
ours,synthetic1m,static,1;2;3;4;5,func1,0,-1,400,600,0.01,0,0,1,0.073,0.044
ours,synthetic1m,static,1;2;3;4;5,func1,0,-1,600,600,0.01,0,0,1,0.098,0.064
ours,synthetic1m,static,1;2;3;4;5,func1,0,-1,800,600,0.01,0,0,1,0.135,0.076
ours,synthetic1m,static,1;2;3;4;5,func1,0,-1,1000,600,0.01,0,0,1,0.166,0.091
ours,synthetic1m,static,1;2;3;4;5,func1,0,-1,1200,600,0.01,0,0,1,0.187,0.096
ours,synthetic1m,static,1;2;3;4;5,boxcox0,0,-1,200,600,0.01,0,0,0,0.030,0.017
ours,synthetic1m,static,1;2;3;4;5,boxcox0,0,-1,400,600,0.01,0,0,0,0.056,0.033
ours,synthetic1m,static,1;2;3;4;5,boxcox0,0,-1,600,600,0.01,0,0,0,0.082,0.046
ours,synthetic1m,static,1;2;3;4;5,boxcox0,0,-1,800,600,0.01,0,0,0,0.112,0.055
ours,synthetic1m,static,1;2;3;4;5,boxcox0,0,-1,1000,600,0.01,0,0,0,0.144,0.076
ours,synthetic1m,static,1;2;3;4;5,boxcox0,0,-1,1200,600,0.01,0,0,0,0.143,0.071
ours,synthetic1m,static,1;2;3;4;5,plus,0,-1,200,600,0.01,0,0,13,0.140,0.076
ours,synthetic1m,static,1;2;3;4;5,plus,0,-1,400,600,0.01,0,0,11,0.233,0.123
ours,synthetic1m,static,1;2;3;4;5,plus,0,-1,600,600,0.01,0,0,10,0.323,0.154
ours,synthetic1m,static,1;2;3;4;5,plus,0,-1,800,600,0.01,0,0,11,0.395,0.176
ours,synthetic1m,static,1;2;3;4;5,plus,0,-1,1000,600,0.01,0,0,10,0.464,0.195
ours,synthetic1m,static,1;2;3;4;5,plus,0,-1,1200,600,0.01,0,0,10,0.532,0.226
ours,synthetic1m,static,1;2;3;4;5,minus,0,-1,200,600,0.01,0,0,13,0.129,0.071
ours,synthetic1m,static,1;2;3;4;5,minus,0,-1,400,600,0.01,0,0,12,0.239,0.124
ours,synthetic1m,static,1;2;3;4;5,minus,0,-1,600,600,0.01,0,0,11,0.313,0.147
ours,synthetic1m,static,1;2;3;4;5,minus,0,-1,800,600,0.01,0,0,11,0.399,0.180
ours,synthetic1m,static,1;2;3;4;5,minus,0,-1,1000,600,0.01,0,0,10,0.483,0.214
ours,synthetic1m,static,1;2;3;4;5,minus,0,-1,1200,600,0.01,0,0,10,0.506,0.207
ours,synthetic1m,static,1;2;3;4;5,multi,0,-1,200,600,0.01,0,0,12,0.132,0.079
ours,synthetic1m,static,1;2;3;4;5,multi,0,-1,400,600,0.01,0,0,11,0.249,0.130
ours,synthetic1m,static,1;2;3;4;5,multi,0,-1,600,600,0.01,0,0,11,0.342,0.158
ours,synthetic1m,static,1;2;3;4;5,multi,0,-1,800,600,0.01,0,0,10,0.395,0.183
ours,synthetic1m,static,1;2;3;4;5,multi,0,-1,1000,600,0.01,0,0,10,0.456,0.196
ours,synthetic1m,static,1;2;3;4;5,multi,0,-1,1200,600,0.01,0,0,9,0.520,0.217
ours,synthetic1m,static,1;2;3;4;5,devide,0,-1,200,600,0.01,0,0,12,0.130,0.077
ours,synthetic1m,static,1;2;3;4;5,devide,0,-1,400,600,0.01,0,0,11,0.233,0.119
ours,synthetic1m,static,1;2;3;4;5,devide,0,-1,600,600,0.01,0,0,11,0.319,0.148
ours,synthetic1m,static,1;2;3;4;5,devide,0,-1,800,600,0.01,0,0,10,0.390,0.178
ours,synthetic1m,static,1;2;3;4;5,devide,0,-1,1000,600,0.01,0,0,10,0.456,0.201
ours,synthetic1m,static,1;2;3;4;5,devide,0,-1,1200,600,0.01,0,0,9,0.448,0.200
ours,synthetic1m,static,1;2;3;4;5,func4,0,-1,200,600,0.01,0,0,32,0.269,0.144
ours,synthetic1m,static,1;2;3;4;5,func4,0,-1,400,600,0.01,0,0,32,0.560,0.252
ours,synthetic1m,static,1;2;3;4;5,func4,0,-1,600,600,0.01,0,0,32,0.781,0.334
ours,synthetic1m,static,1;2;3;4;5,func4,0,-1,800,600,0.01,0,0,32,1.148,0.486
ours,synthetic1m,static,1;2;3;4;5,func4,0,-1,1000,600,0.01,0,0,29,1.215,0.465
ours,synthetic1m,static,1;2;3;4;5,func4,0,-1,1200,600,0.01,0,0,28,1.311,0.523
ours,synthetic1m,static,1;2;3;4;5,mean,0,-1,200,600,0.01,0,0,30,0.386,0.177
ours,synthetic1m,static,1;2;3;4;5,mean,0,-1,400,600,0.01,0,0,26,0.636,0.262
ours,synthetic1m,static,1;2;3;4;5,mean,0,-1,600,600,0.01,0,0,20,0.749,0.300
ours,synthetic1m,static,1;2;3;4;5,mean,0,-1,800,600,0.01,0,0,18,0.962,0.347
ours,synthetic1m,static,1;2;3;4;5,mean,0,-1,1000,600,0.01,0,0,15,1.110,0.394
ours,synthetic1m,static,1;2;3;4;5,mean,0,-1,1200,600,0.01,0,0,17,1.552,0.468
ours,synthetic1m,static,1;2;3;4;5,variance,0,-1,200,600,0.01,0,0,32,0.378,0.171
ours,synthetic1m,static,1;2;3;4;5,variance,0,-1,400,600,0.01,0,0,27,0.642,0.249
ours,synthetic1m,static,1;2;3;4;5,variance,0,-1,600,600,0.01,0,0,21,0.836,0.298
ours,synthetic1m,static,1;2;3;4;5,variance,0,-1,800,600,0.01,0,0,22,1.073,0.367
ours,synthetic1m,static,1;2;3;4;5,variance,0,-1,1000,600,0.01,0,0,18,1.201,0.368
ours,synthetic1m,static,1;2;3;4;5,variance,0,-1,1200,600,0.01,0,0,17,1.395,0.415
ours,synthetic1m,static,1;2;3;4;5,max,0,-1,200,600,0.01,0,0,12,0.137,0.067
ours,synthetic1m,static,1;2;3;4;5,max,0,-1,400,600,0.01,0,0,11,0.244,0.102
ours,synthetic1m,static,1;2;3;4;5,max,0,-1,600,600,0.01,0,0,10,0.320,0.123
ours,synthetic1m,static,1;2;3;4;5,max,0,-1,800,600,0.01,0,0,9,0.409,0.146
ours,synthetic1m,static,1;2;3;4;5,max,0,-1,1000,600,0.01,0,0,1,0.352,0.118
ours,synthetic1m,static,1;2;3;4;5,max,0,-1,1200,600,0.01,0,0,1,0.490,0.141
ours,synthetic1m,static,1;2;3;4;5,L2,0,-1,200,600,0.01,0,0,21,0.304,0.148
ours,synthetic1m,static,1;2;3;4;5,L2,0,-1,400,600,0.01,0,0,19,0.581,0.238
ours,synthetic1m,static,1;2;3;4;5,L2,0,-1,600,600,0.01,0,0,18,0.793,0.299
ours,synthetic1m,static,1;2;3;4;5,L2,0,-1,800,600,0.01,0,0,18,1.052,0.362
ours,synthetic1m,static,1;2;3;4;5,L2,0,-1,1000,600,0.01,0,0,9,0.761,0.252
ours,synthetic1m,static,1;2;3;4;5,L2,0,-1,1200,600,0.01,0,0,11,0.932,0.306
ours,synthetic1m,static,1;2;3;4;5,weightsum,0,-1,200,600,0.01,0,0,19,0.247,0.120
ours,synthetic1m,static,1;2;3;4;5,weightsum,0,-1,400,600,0.01,0,0,17,0.448,0.190
ours,synthetic1m,static,1;2;3;4;5,weightsum,0,-1,600,600,0.01,0,0,13,0.578,0.227
ours,synthetic1m,static,1;2;3;4;5,weightsum,0,-1,800,600,0.01,0,0,11,0.749,0.237
