experiment: ours ; table: stockdata ; interacttype:  ; columns: 9,5,1,2,3,4,6,7,8,10 ; memLimit: 0 ; errorBound: 0.1 ; symbolName: L2 ; width: 600 ; startTime: 0 ; endTime: -1 ; totaltime: 0.587 ; sqltime: 0.185
experiment: ours ; table: stockdata ; interacttype:  ; columns: 9,5,1,2,3,4,6,7,8,10 ; memLimit: 0 ; errorBound: 0.1 ; symbolName: L2 ; width: 800 ; startTime: 0 ; endTime: -1 ; totaltime: 0.792 ; sqltime: 0.234
experiment: ours ; table: stockdata ; interacttype:  ; columns: 9,5,1,2,3,4,6,7,8,10 ; memLimit: 0 ; errorBound: 0.1 ; symbolName: L2 ; width: 1000 ; startTime: 0 ; endTime: -1 ; totaltime: 0.934 ; sqltime: 0.285
experiment: ours ; table: stockdata ; interacttype:  ; columns: 9,5,1,2,3,4,6,7,8,10 ; memLimit: 0 ; errorBound: 0.1 ; symbolName: L2 ; width: 1200 ; startTime: 0 ; endTime: -1 ; totaltime: 1.174 ; sqltime: 0.336
experiment: ours ; table: stockdata ; interacttype:  ; columns: 9,5,1,2,3,4,6,7,8,10 ; memLimit: 0 ; errorBound: 0.1 ; symbolName: weightsum ; width: 200 ; startTime: 0 ; endTime: -1 ; totaltime: 0.207 ; sqltime: 0.086
experiment: ours ; table: stockdata ; interacttype:  ; columns: 9,5,1,2,3,4,6,7,8,10 ; memLimit: 0 ; errorBound: 0.1 ; symbolName: weightsum ; width: 400 ; startTime: 0 ; endTime: -1 ; totaltime: 0.380 ; sqltime: 0.146
experiment: ours ; table: stockdata ; interacttype:  ; columns: 9,5,1,2,3,4,6,7,8,10 ; memLimit: 0 ; errorBound: 0.1 ; symbolName: weightsum ; width: 600 ; startTime: 0 ; endTime: -1 ; totaltime: 0.549 ; sqltime: 0.182
experiment: ours ; table: stockdata ; interacttype:  ; columns: 9,5,1,2,3,4,6,7,8,10 ; memLimit: 0 ; errorBound: 0.1 ; symbolName: weightsum ; width: 800 ; startTime: 0 ; endTime: -1 ; totaltime: 0.604 ; sqltime: 0.218
experiment: ours ; table: stockdata ; interacttype:  ; columns: 9,5,1,2,3,4,6,7,8,10 ; memLimit: 0 ; errorBound: 0.1 ; symbolName: weightsum ; width: 1000 ; startTime: 0 ; endTime: -1 ; totaltime: 0.789 ; sqltime: 0.265
experiment: ours ; table: stockdata ; interacttype:  ; columns: 9,5,1,2,3,4,6,7,8,10 ; memLimit: 0 ; errorBound: 0.1 ; symbolName: weightsum ; width: 1200 ; startTime: 0 ; endTime: -1 ; totaltime: 0.853 ; sqltime: 0.280
experiment: ours ; table: traffic ; interacttype:  ; columns: 1,2,3,4,5,6,7,8,9,10 ; memLimit: 0 ; errorBound: 0.1 ; symbolName: max ; width: 200 ; startTime: 0 ; endTime: -1 ; totaltime: 0.284 ; sqltime: 0.142
experiment: ours ; table: traffic ; interacttype:  ; columns: 1,2,3,4,5,6,7,8,9,10 ; memLimit: 0 ; errorBound: 0.1 ; symbolName: max ; width: 400 ; startTime: 0 ; endTime: -1 ; totaltime: 0.367 ; sqltime: 0.152
experiment: ours ; table: traffic ; interacttype:  ; columns: 1,2,3,4,5,6,7,8,9,10 ; memLimit: 0 ; errorBound: 0.1 ; symbolName: max ; width: 600 ; startTime: 0 ; endTime: -1 ; totaltime: 0.514 ; sqltime: 0.188
experiment: ours ; table: traffic ; interacttype:  ; columns: 1,2,3,4,5,6,7,8,9,10 ; memLimit: 0 ; errorBound: 0.1 ; symbolName: max ; width: 800 ; startTime: 0 ; endTime: -1 ; totaltime: 0.595 ; sqltime: 0.222
experiment: ours ; table: traffic ; interacttype:  ; columns: 1,2,3,4,5,6,7,8,9,10 ; memLimit: 0 ; errorBound: 0.1 ; symbolName: max ; width: 1000 ; startTime: 0 ; endTime: -1 ; totaltime: 0.691 ; sqltime: 0.235
experiment: ours ; table: traffic ; interacttype:  ; columns: 1,2,3,4,5,6,7,8,9,10 ; memLimit: 0 ; errorBound: 0.1 ; symbolName: max ; width: 1200 ; startTime: 0 ; endTime: -1 ; totaltime: 0.814 ; sqltime: 0.271
experiment: ours ; table: traffic ; interacttype:  ; columns: 1,2,3,4,5,6,7,8,9,10 ; memLimit: 0 ; errorBound: 0.1 ; symbolName: L2 ; width: 200 ; startTime: 0 ; endTime: -1 ; totaltime: 0.791 ; sqltime: 0.326
experiment: ours ; table: traffic ; interacttype:  ; columns: 1,2,3,4,5,6,7,8,9,10 ; memLimit: 0 ; errorBound: 0.1 ; symbolName: L2 ; width: 400 ; startTime: 0 ; endTime: -1 ; totaltime: 1.067 ; sqltime: 0.385
experiment: ours ; table: traffic ; interacttype:  ; columns: 1,2,3,4,5,6,7,8,9,10 ; memLimit: 0 ; errorBound: 0.1 ; symbolName: L2 ; width: 600 ; startTime: 0 ; endTime: -1 ; totaltime: 1.375 ; sqltime: 0.495
experiment: ours ; table: traffic ; interacttype:  ; columns: 1,2,3,4,5,6,7,8,9,10 ; memLimit: 0 ; errorBound: 0.1 ; symbolName: L2 ; width: 800 ; startTime: 0 ; endTime: -1 ; totaltime: 1.904 ; sqltime: 0.553
experiment: ours ; table: traffic ; interacttype:  ; columns: 1,2,3,4,5,6,7,8,9,10 ; memLimit: 0 ; errorBound: 0.1 ; symbolName: L2 ; width: 1000 ; startTime: 0 ; endTime: -1 ; totaltime: 2.013 ; sqltime: 0.583
experiment: ours ; table: traffic ; interacttype:  ; columns: 1,2,3,4,5,6,7,8,9,10 ; memLimit: 0 ; errorBound: 0.1 ; symbolName: L2 ; width: 1200 ; startTime: 0 ; endTime: -1 ; totaltime: 2.092 ; sqltime: 0.625
experiment: ours ; table: traffic ; interacttype:  ; columns: 1,2,3,4,5,6,7,8,9,10 ; memLimit: 0 ; errorBound: 0.1 ; symbolName: weightsum ; width: 200 ; startTime: 0 ; endTime: -1 ; totaltime: 0.618 ; sqltime: 0.249
experiment: ours ; table: traffic ; interacttype:  ; columns: 1,2,3,4,5,6,7,8,9,10 ; memLimit: 0 ; errorBound: 0.1 ; symbolName: weightsum ; width: 400 ; startTime: 0 ; endTime: -1 ; totaltime: 0.824 ; sqltime: 0.300
experiment: ours ; table: traffic ; interacttype:  ; columns: 1,2,3,4,5,6,7,8,9,10 ; memLimit: 0 ; errorBound: 0.1 ; symbolName: weightsum ; width: 600 ; startTime: 0 ; endTime: -1 ; totaltime: 1.125 ; sqltime: 0.381
experiment: ours ; table: traffic ; interacttype:  ; columns: 1,2,3,4,5,6,7,8,9,10 ; memLimit: 0 ; errorBound: 0.1 ; symbolName: weightsum ; width: 800 ; startTime: 0 ; endTime: -1 ; totaltime: 1.239 ; sqltime: 0.405
experiment: ours ; table: traffic ; interacttype:  ; columns: 1,2,3,4,5,6,7,8,9,10 ; memLimit: 0 ; errorBound: 0.1 ; symbolName: weightsum ; width: 1000 ; startTime: 0 ; endTime: -1 ; totaltime: 1.425 ; sqltime: 0.462
experiment: ours ; table: traffic ; interacttype:  ; columns: 1,2,3,4,5,6,7,8,9,10 ; memLimit: 0 ; errorBound: 0.1 ; symbolName: weightsum ; width: 1200 ; startTime: 0 ; endTime: -1 ; totaltime: 1.684 ; sqltime: 0.577
experiment: ours ; table: synthetic1m ; interacttype:  ; columns: 1,2,3,4,5 ; memLimit: 0 ; errorBound: 0.1 ; symbolName: max ; width: 200 ; startTime: 0 ; endTime: -1 ; totaltime: 0.072 ; sqltime: 0.041
experiment: ours ; table: synthetic1m ; interacttype:  ; columns: 1,2,3,4,5 ; memLimit: 0 ; errorBound: 0.1 ; symbolName: max ; width: 400 ; startTime: 0 ; endTime: -1 ; totaltime: 0.139 ; sqltime: 0.062
experiment: ours ; table: synthetic1m ; interacttype:  ; columns: 1,2,3,4,5 ; memLimit: 0 ; errorBound: 0.1 ; symbolName: max ; width: 600 ; startTime: 0 ; endTime: -1 ; totaltime: 0.198 ; sqltime: 0.088
experiment: ours ; table: synthetic1m ; interacttype:  ; columns: 1,2,3,4,5 ; memLimit: 0 ; errorBound: 0.1 ; symbolName: max ; width: 800 ; startTime: 0 ; endTime: -1 ; totaltime: 0.256 ; sqltime: 0.101
experiment: ours ; table: synthetic1m ; interacttype:  ; columns: 1,2,3,4,5 ; memLimit: 0 ; errorBound: 0.1 ; symbolName: max ; width: 1000 ; startTime: 0 ; endTime: -1 ; totaltime: 0.287 ; sqltime: 0.110
experiment: ours ; table: synthetic1m ; interacttype:  ; columns: 1,2,3,4,5 ; memLimit: 0 ; errorBound: 0.1 ; symbolName: max ; width: 1200 ; startTime: 0 ; endTime: -1 ; totaltime: 0.301 ; sqltime: 0.122
experiment: ours ; table: synthetic1m ; interacttype:  ; columns: 1,2,3,4,5 ; memLimit: 0 ; errorBound: 0.1 ; symbolName: L2 ; width: 200 ; startTime: 0 ; endTime: -1 ; totaltime: 0.079 ; sqltime: 0.042
experiment: ours ; table: synthetic1m ; interacttype:  ; columns: 1,2,3,4,5 ; memLimit: 0 ; errorBound: 0.1 ; symbolName: L2 ; width: 400 ; startTime: 0 ; endTime: -1 ; totaltime: 0.167 ; sqltime: 0.071
experiment: ours ; table: synthetic1m ; interacttype:  ; columns: 1,2,3,4,5 ; memLimit: 0 ; errorBound: 0.1 ; symbolName: L2 ; width: 600 ; startTime: 0 ; endTime: -1 ; totaltime: 0.235 ; sqltime: 0.098
experiment: ours ; table: synthetic1m ; interacttype:  ; columns: 1,2,3,4,5 ; memLimit: 0 ; errorBound: 0.1 ; symbolName: L2 ; width: 800 ; startTime: 0 ; endTime: -1 ; totaltime: 0.288 ; sqltime: 0.109
experiment: ours ; table: synthetic1m ; interacttype:  ; columns: 1,2,3,4,5 ; memLimit: 0 ; errorBound: 0.1 ; symbolName: L2 ; width: 1000 ; startTime: 0 ; endTime: -1 ; totaltime: 0.330 ; sqltime: 0.122
experiment: ours ; table: synthetic1m ; interacttype:  ; columns: 1,2,3,4,5 ; memLimit: 0 ; errorBound: 0.1 ; symbolName: L2 ; width: 1200 ; startTime: 0 ; endTime: -1 ; totaltime: 0.382 ; sqltime: 0.135
experiment: ours ; table: synthetic1m ; interacttype:  ; columns: 1,2,3,4,5 ; memLimit: 0 ; errorBound: 0.1 ; symbolName: weightsum ; width: 200 ; startTime: 0 ; endTime: -1 ; totaltime: 0.130 ; sqltime: 0.065
experiment: ours ; table: synthetic1m ; interacttype:  ; columns: 1,2,3,4,5 ; memLimit: 0 ; errorBound: 0.1 ; symbolName: weightsum ; width: 400 ; startTime: 0 ; endTime: -1 ; totaltime: 0.168 ; sqltime: 0.075
experiment: ours ; table: synthetic1m ; interacttype:  ; columns: 1,2,3,4,5 ; memLimit: 0 ; errorBound: 0.1 ; symbolName: weightsum ; width: 600 ; startTime: 0 ; endTime: -1 ; totaltime: 0.256 ; sqltime: 0.098
experiment: ours ; table: synthetic1m ; interacttype:  ; columns: 1,2,3,4,5 ; memLimit: 0 ; errorBound: 0.1 ; symbolName: weightsum ; width: 800 ; startTime: 0 ; endTime: -1 ; totaltime: 0.227 ; sqltime: 0.092
experiment: ours ; table: synthetic1m ; interacttype:  ; columns: 1,2,3,4,5 ; memLimit: 0 ; errorBound: 0.1 ; symbolName: weightsum ; width: 1000 ; startTime: 0 ; endTime: -1 ; totaltime: 0.367 ; sqltime: 0.130
experiment: ours ; table: synthetic1m ; interacttype:  ; columns: 1,2,3,4,5 ; memLimit: 0 ; errorBound: 0.1 ; symbolName: weightsum ; width: 1200 ; startTime: 0 ; endTime: -1 ; totaltime: 0.325 ; sqltime: 0.119
experiment: ours ; table: synthetic2m ; interacttype:  ; columns: 1,2,3,4,5 ; memLimit: 0 ; errorBound: 0.1 ; symbolName: max ; width: 200 ; startTime: 0 ; endTime: -1 ; totaltime: 0.095 ; sqltime: 0.047
